Time Performed:   9/2/2014  9:38 AM,
-0.3,-1.15868E-05
-0.299,-1.14551E-05
-0.298,-1.14482E-05
-0.297,-1.10582E-05
-0.296,-1.09554E-05
-0.295,-1.09693E-05
-0.294,-0.000010842
-0.293,-1.07153E-05
-0.292,-0.000010757
-0.291,-1.06885E-05
-0.29,-1.06597E-05
-0.289,-1.05127E-05
-0.288,-1.04142E-05
-0.287,-1.03711E-05
-0.286,-1.03597E-05
-0.285,-1.02847E-05
-0.284,-1.014661E-05
-0.283,-1.016548E-05
-0.282,-1.006008E-05
-0.281,-1.006418E-05
-0.28,-9.92735E-06
-0.279,-0.000009796
-0.278,-9.8656E-06
-0.277,-9.80875E-06
-0.276,-9.78987E-06
-0.275,-9.5721E-06
-0.274,-9.34247E-06
-0.273,-9.59571E-06
-0.272,-9.28583E-06
-0.271,-9.44036E-06
-0.27,-9.34648E-06
-0.269,-9.19486E-06
-0.268,-9.07459E-06
-0.267,-9.12491E-06
-0.266,-9.0882E-06
-0.265,-8.72377E-06
-0.264,-8.87288E-06
-0.263,-8.84885E-06
-0.262,-8.56746E-06
-0.261,-8.83566E-06
-0.26,-8.51355E-06
-0.259,-8.71935E-06
-0.258,-8.62548E-06
-0.257,-8.46305E-06
-0.256,-8.32843E-06
-0.255,-0.000008178
-0.254,-8.37882E-06
-0.253,-8.16512E-06
-0.252,-7.87035E-06
-0.251,-8.19408E-06
-0.25,-7.72488E-06
-0.249,-7.72545E-06
-0.248,-0.000008074
-0.247,-7.94654E-06
-0.246,-7.78263E-06
-0.245,-7.82535E-06
-0.244,-7.77722E-06
-0.243,-7.6843E-06
-0.242,-7.4003E-06
-0.241,-7.22476E-06
-0.24,-7.14171E-06
-0.239,-7.50591E-06
-0.238,-7.43612E-06
-0.237,-7.06749E-06
-0.236,-6.91535E-06
-0.235,-6.86364E-06
-0.234,-6.80073E-06
-0.233,-6.76773E-06
-0.232,-6.68376E-06
-0.231,-0.00000662
-0.23,-6.57956E-06
-0.229,-6.5337E-06
-0.228,-6.4663E-06
-0.227,-6.7702E-06
-0.226,-0.000006709
-0.225,-6.6791E-06
-0.224,-6.61871E-06
-0.223,-0.000006321
-0.222,-6.16173E-06
-0.221,-6.08805E-06
-0.22,-6.05633E-06
-0.219,-0.000005983
-0.218,-5.93446E-06
-0.217,-0.000005884
-0.216,-5.82319E-06
-0.215,-5.77125E-06
-0.214,-5.71878E-06
-0.213,-5.68107E-06
-0.212,-5.60385E-06
-0.211,-5.5778E-06
-0.21,-5.52611E-06
-0.209,-5.48264E-06
-0.208,-5.42191E-06
-0.207,-5.36849E-06
-0.206,-0.000005329
-0.205,-5.27177E-06
-0.204,-5.22358E-06
-0.203,-5.17065E-06
-0.202,-5.11552E-06
-0.201,-5.06454E-06
-0.2,-5.0526E-06
-0.199,-0.000004981
-0.198,-4.92076E-06
-0.197,-4.89246E-06
-0.196,-4.83879E-06
-0.195,-4.80507E-06
-0.194,-4.74862E-06
-0.193,-4.70881E-06
-0.192,-4.64715E-06
-0.191,-4.61552E-06
-0.19,-0.000004579
-0.189,-4.52612E-06
-0.188,-4.47288E-06
-0.187,-4.42727E-06
-0.186,-4.37516E-06
-0.185,-4.32363E-06
-0.184,-0.000004282
-0.183,-0.00000423
-0.182,-4.21331E-06
-0.181,-4.1753E-06
-0.18,-4.12128E-06
-0.179,-4.07438E-06
-0.178,-4.02063E-06
-0.177,-3.98985E-06
-0.176,-3.94414E-06
-0.175,-3.91058E-06
-0.174,-0.000003873
-0.173,-3.82122E-06
-0.172,-3.78234E-06
-0.171,-3.73267E-06
-0.17,-3.68761E-06
-0.169,-3.65316E-06
-0.168,-3.59812E-06
-0.167,-3.55565E-06
-0.166,-0.000003523
-0.165,-0.00000348
-0.164,-3.44845E-06
-0.163,-3.40146E-06
-0.162,-3.36437E-06
-0.161,-3.33957E-06
-0.16,-3.29549E-06
-0.159,-3.24736E-06
-0.158,-3.20335E-06
-0.157,-0.000003189
-0.156,-3.15207E-06
-0.155,-3.10825E-06
-0.154,-3.0541E-06
-0.153,-3.02791E-06
-0.152,-2.99891E-06
-0.151,-2.9658E-06
-0.15,-0.000002916
-0.149,-2.88338E-06
-0.148,-2.83862E-06
-0.147,-2.79884E-06
-0.146,-2.77672E-06
-0.145,-2.73261E-06
-0.144,-2.68842E-06
-0.143,-0.000002676
-0.142,-2.63629E-06
-0.141,-0.000002587
-0.14,-2.55622E-06
-0.139,-2.5235E-06
-0.138,-2.47743E-06
-0.137,-2.46186E-06
-0.136,-2.43465E-06
-0.135,-2.39847E-06
-0.134,-2.36507E-06
-0.133,-2.32351E-06
-0.132,-2.29332E-06
-0.131,-2.26017E-06
-0.13,-2.23387E-06
-0.129,-2.20622E-06
-0.128,-0.00000218
-0.127,-2.13222E-06
-0.126,-2.10828E-06
-0.125,-0.000002077
-0.124,-2.04873E-06
-0.123,-2.02329E-06
-0.122,-2.00675E-06
-0.121,-1.98182E-06
-0.12,-0.000001945
-0.119,-1.93254E-06
-0.118,-0.000001906
-0.117,-1.87064E-06
-0.116,-1.87308E-06
-0.115,-1.8471E-06
-0.114,-1.80356E-06
-0.113,-1.7758E-06
-0.112,-1.75352E-06
-0.111,-1.7342E-06
-0.11,-1.70743E-06
-0.109,-1.69322E-06
-0.108,-1.67057E-06
-0.107,-1.65068E-06
-0.106,-1.61661E-06
-0.105,-1.62158E-06
-0.104,-1.59092E-06
-0.103,-1.56754E-06
-0.102,-1.55019E-06
-0.101,-1.52928E-06
-0.1,-1.50941E-06
-0.099,-1.49089E-06
-0.098,-1.46694E-06
-0.097,-1.46855E-06
-0.096,-1.43621E-06
-0.095,-1.40266E-06
-0.094,-1.38406E-06
-0.093,-1.3687E-06
-0.092,-1.36754E-06
-0.091,-1.35094E-06
-0.09,-1.3106E-06
-0.089,-1.31044E-06
-0.088,-1.28629E-06
-0.087,-1.2681E-06
-0.086,-0.000001248
-0.085,-1.23224E-06
-0.084,-1.20589E-06
-0.083,-1.1919E-06
-0.082,-1.15909E-06
-0.081,-1.13592E-06
-0.08,-1.12125E-06
-0.079,-1.10131E-06
-0.078,-0.000001082
-0.077,-1.06044E-06
-0.076,-1.0406E-06
-0.075,-1.02275E-06
-0.074,-0.000001005
-0.073,-9.82201E-07
-0.072,-9.60621E-07
-0.071,-9.37063E-07
-0.07,-9.13396E-07
-0.069,-8.99678E-07
-0.068,-8.84481E-07
-0.067,-8.60812E-07
-0.066,-8.40276E-07
-0.065,-8.14297E-07
-0.064,-7.90476E-07
-0.063,-7.67635E-07
-0.062,-7.51401E-07
-0.061,-7.28587E-07
-0.06,-7.0278E-07
-0.059,-6.93738E-07
-0.058,-6.68511E-07
-0.057,-6.52054E-07
-0.056,-6.28106E-07
-0.055,-6.09684E-07
-0.054,-6.01931E-07
-0.053,-5.84137E-07
-0.052,-5.61638E-07
-0.051,-5.43789E-07
-0.05,-5.31053E-07
-0.049,-5.16237E-07
-0.048,-0.0000005
-0.047,-0.000000491
-0.046,-4.7419E-07
-0.045,-4.62239E-07
-0.044,-0.000000445
-0.043,-4.34312E-07
-0.042,-4.19474E-07
-0.041,-4.06281E-07
-0.04,-3.95679E-07
-0.039,-0.000000385
-0.038,-3.638E-07
-0.037,-3.55107E-07
-0.036,-3.42125E-07
-0.035,-3.36709E-07
-0.034,-0.000000329
-0.033,-3.17331E-07
-0.032,-0.000000306
-0.031,-2.98253E-07
-0.03,-2.87406E-07
-0.029,-0.000000276
-0.028,-0.000000267
-0.027,-2.56275E-07
-0.026,-2.44463E-07
-0.025,-2.36091E-07
-0.024,-2.24797E-07
-0.023,-2.16386E-07
-0.022,-2.05917E-07
-0.021,-1.96845E-07
-0.02,-1.85628E-07
-0.019,-0.000000177
-0.018,-0.000000168
-0.017,-1.58691E-07
-0.016,-1.48214E-07
-0.015,-1.40225E-07
-0.014,-0.00000013
-0.013,-1.20626E-07
-0.012,-1.11439E-07
-0.011,-1.02703E-07
-0.01,-9.22692E-08
-0.009,-8.33913E-08
-0.008,-7.442E-08
-0.007,-0.000000065
-0.006,-5.61794E-08
-0.005,-4.63121E-08
-0.004,-3.71832E-08
-0.003,-2.83738E-08
-0.002,-1.92787E-08
-0.001,-1.01227E-08
0,-0.000000001
0.001,8.64389E-09
0.002,1.82421E-08
0.003,2.75306E-08
0.004,3.68791E-08
0.005,4.59144E-08
0.006,5.60756E-08
0.007,6.58786E-08
0.008,7.52476E-08
0.009,0.000000085
0.01,9.49385E-08
0.011,1.037011E-07
0.012,0.000000114
0.013,1.22717E-07
0.014,1.34464E-07
0.015,1.43898E-07
0.016,1.54402E-07
0.017,1.65237E-07
0.018,1.73773E-07
0.019,1.85219E-07
0.02,1.93696E-07
0.021,2.05801E-07
0.022,2.14201E-07
0.023,2.28348E-07
0.024,2.37835E-07
0.025,2.49563E-07
0.026,2.55599E-07
0.027,2.69528E-07
0.028,2.78078E-07
0.029,2.88635E-07
0.03,3.00939E-07
0.031,3.11363E-07
0.032,3.17575E-07
0.033,3.29527E-07
0.034,3.38399E-07
0.035,3.4854E-07
0.036,3.59511E-07
0.037,3.67401E-07
0.038,0.000000378
0.039,0.000000394
0.04,4.00181E-07
0.041,4.12438E-07
0.042,4.22946E-07
0.043,4.30639E-07
0.044,4.42132E-07
0.045,4.53929E-07
0.046,4.64286E-07
0.047,4.76792E-07
0.048,0.000000492
0.049,4.99923E-07
0.05,5.08883E-07
0.051,5.22615E-07
0.052,0.000000531
0.053,5.43239E-07
0.054,5.57314E-07
0.055,5.6715E-07
0.056,5.82226E-07
0.057,5.9531E-07
0.058,6.08919E-07
0.059,6.19645E-07
0.06,6.34669E-07
0.061,6.45289E-07
0.062,6.59711E-07
0.063,6.76708E-07
0.064,6.87192E-07
0.065,7.03392E-07
0.066,7.20829E-07
0.067,7.34936E-07
0.068,7.50748E-07
0.069,7.6725E-07
0.07,0.000000781
0.071,7.96278E-07
0.072,0.000000816
0.073,8.3211E-07
0.074,8.49457E-07
0.075,8.65219E-07
0.076,8.8512E-07
0.077,9.01751E-07
0.078,9.2251E-07
0.079,9.4144E-07
0.08,0.000000964
0.081,9.84309E-07
0.082,1.004228E-06
0.083,0.000001027
0.084,1.049786E-06
0.085,0.000001071
0.086,0.000001092
0.087,1.116514E-06
0.088,0.000001142
0.089,1.16344E-06
0.09,1.1848E-06
0.091,1.21119E-06
0.092,1.23965E-06
0.093,1.26542E-06
0.094,1.28891E-06
0.095,0.000001319
0.096,1.34454E-06
0.097,1.37383E-06
0.098,1.40525E-06
0.099,1.43467E-06
0.1,0.000001465
0.101,1.49406E-06
0.102,1.52036E-06
0.103,1.54483E-06
0.104,1.58509E-06
0.105,1.61422E-06
0.106,1.64433E-06
0.107,1.67693E-06
0.108,1.71359E-06
0.109,1.74026E-06
0.11,1.77207E-06
0.111,1.80812E-06
0.112,1.84239E-06
0.113,0.000001873
0.114,1.90934E-06
0.115,1.94143E-06
0.116,1.97606E-06
0.117,2.01479E-06
0.118,0.000002048
